system,sample_id,group_id,dynamic_bin,event,evaluation_stratum,dataset,run,epoch,window,total_mse,common_mse,spatial_mse,decomposition_residual
NPCC140,29000044,test1500:npcc140:0044,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.4932413763422845,0.011824233424439744,0.4814171429178447,3.469446951953614e-17
NPCC140,29000044,test1500:npcc140:0044,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,3.230292142422428,0.00276427139295138,3.227527871029476,7.199102425303749e-16
NPCC140,29000045,test1500:npcc140:0045,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.1227275015387633,0.003804626555345031,0.11892287498341826,8.239936510889834e-18
NPCC140,29000045,test1500:npcc140:0045,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.07774854813960258,0.004178846291627145,0.07356970184797544,6.071532165918825e-18
NPCC140,29000045,test1500:npcc140:0045,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.10886339328803983,0.0012149651556446186,0.10764842813239521,1.951563910473908e-18
NPCC140,29000045,test1500:npcc140:0045,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.13277104017896876,0.004803069141596985,0.12796797103737179,7.806255641895632e-18
NPCC140,29000047,test1500:npcc140:0047,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.031802436471027554,0.0008732704238608835,0.03092916604716667,6.505213034913027e-19
NPCC140,29000047,test1500:npcc140:0047,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.08931278834625135,0.003991987616777544,0.0853208007294738,4.336808689942018e-18
NPCC140,29000047,test1500:npcc140:0047,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.07483781641087454,0.0016948622668991585,0.07314295414397541,2.5370330836160804e-17
NPCC140,29000047,test1500:npcc140:0047,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.008837249307566379,0.00023276196735390746,0.00860448734021247,1.0570971181733668e-18
NPCC140,29000048,test1500:npcc140:0048,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.13256462968941818,0.004773375199192591,0.1277912544902256,1.5612511283791264e-17
NPCC140,29000048,test1500:npcc140:0048,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.014928691715293513,0.0004466224601331041,0.014482069255160409,5.421010862427522e-20
NPCC140,29000048,test1500:npcc140:0048,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.11255426103540833,0.0043710132396264515,0.10818324779578187,1.3010426069826053e-17
NPCC140,29000048,test1500:npcc140:0048,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.15233237094843463,0.005366995256924996,0.14696537569150964,1.734723475976807e-18
NPCC140,29000049,test1500:npcc140:0049,D3_large_excursion,fault,,test,G0_BALANCED,53,full,0.721269442653226,0.013913413553149323,0.7073560291000767,2.2551405187698492e-17
NPCC140,29000049,test1500:npcc140:0049,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.19009734828635846,0.0045758650371169295,0.18552148324924153,3.469446951953614e-18
NPCC140,29000049,test1500:npcc140:0049,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,0.6772191637150197,0.010925545010202155,0.6662936187048175,1.734723475976807e-18
NPCC140,29000049,test1500:npcc140:0049,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,0.7920067636651954,0.01604231582193143,0.7759644478432638,1.7694179454963432e-16
NPCC140,29000050,test1500:npcc140:0050,D1_resolved_response,fault,,test,G0_BALANCED,53,full,0.00559335746134747,0.0002525856428478993,0.005340771818499572,1.5178830414797062e-18
NPCC140,29000050,test1500:npcc140:0050,D1_resolved_response,fault,,test,G0_BALANCED,53,0_2,0.004513147021769761,0.002297454571671548,0.0022156924500982126,0.0
NPCC140,29000050,test1500:npcc140:0050,D1_resolved_response,fault,,test,G0_BALANCED,53,2_10,0.00307731897387771,0.0001407336036416323,0.0029365853702360786,7.318364664277155e-19
NPCC140,29000050,test1500:npcc140:0050,D1_resolved_response,fault,,test,G0_BALANCED,53,10_30,0.0067077939002931465,9.283956564804125e-05,0.006614954334645105,1.2197274440461925e-19
NPCC140,29000054,test1500:npcc140:0054,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.018356386888145077,0.0007843081221407237,0.01757207876600435,1.8431436932253575e-18
NPCC140,29000054,test1500:npcc140:0054,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.009763645890772487,0.004938145603356256,0.004825500287416232,1.734723475976807e-18
NPCC140,29000054,test1500:npcc140:0054,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.029447923220006195,0.0008476116856431167,0.028600311534363074,3.577867169202165e-18
NPCC140,29000054,test1500:npcc140:0054,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.01477904645513789,0.0003436029486182131,0.014435443506519676,5.421010862427522e-19
NPCC140,29000055,test1500:npcc140:0055,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.0629814866830541,0.002572055580921985,0.06040943110213213,1.1275702593849246e-17
NPCC140,29000055,test1500:npcc140:0055,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.03611502700570777,0.0019510957064072887,0.03416393129930049,8.890457814381136e-18
NPCC140,29000055,test1500:npcc140:0055,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.06190221979214345,0.003119102056063984,0.058783117736079464,1.3010426069826053e-18
NPCC140,29000055,test1500:npcc140:0055,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.066099839407153,0.002415332978316656,0.06368450642883634,0.0
NPCC140,29000056,test1500:npcc140:0056,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,full,0.029324563984326955,0.0005521347422028925,0.028772429242124063,3.2526065174565133e-19
NPCC140,29000056,test1500:npcc140:0056,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,0_2,0.0053219973290215454,0.002257409964356552,0.0030645873646649936,0.0
NPCC140,29000056,test1500:npcc140:0056,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,2_10,0.021498378696363216,0.0002491796891478276,0.02124919900721539,3.3068166260807885e-18
NPCC140,29000056,test1500:npcc140:0056,D2_pronounced_or_spatial,fault,,test,G0_BALANCED,53,10_30,0.03485529476504299,0.0005027892412095526,0.03435250552383343,3.2526065174565133e-18
NPCC140,29000057,test1500:npcc140:0057,D3_large_excursion,fault,,test,G0_BALANCED,53,full,2.0731871711852223,0.0602323249751587,2.012954846210064,2.983724378680108e-16
NPCC140,29000057,test1500:npcc140:0057,D3_large_excursion,fault,,test,G0_BALANCED,53,0_2,0.10625687567905982,0.004698971332091757,0.10155790434696804,2.42861286636753e-17
NPCC140,29000057,test1500:npcc140:0057,D3_large_excursion,fault,,test,G0_BALANCED,53,2_10,1.5291599723022136,0.06343276067334518,1.4657272116288684,4.163336342344337e-17
NPCC140,29000057,test1500:npcc140:0057,D3_large_excursion,fault,,test,G0_BALANCED,53,10_30,2.487491080289042,0.06450548606019081,2.422985594228851,1.3877787807814457e-17
IEEE39,29000060,test1500:ieee39:0060,D3_large_excursion,generator,,test,G0_BALANCED,53,full,0.005108591830735603,0.0008688735036879514,0.004239718327047651,2.168404344971009e-19
IEEE39,29000060,test1500:ieee39:0060,D3_large_excursion,generator,,test,G0_BALANCED,53,0_2,0.010816678945662975,0.0018693807538295404,0.008947298191833436,1.3010426069826053e-18
IEEE39,29000060,test1500:ieee39:0060,D3_large_excursion,generator,,test,G0_BALANCED,53,2_10,0.008362620254688662,0.001093600660378879,0.007269019594309782,1.0842021724855044e-18
IEEE39,29000060,test1500:ieee39:0060,D3_large_excursion,generator,,test,G0_BALANCED,53,10_30,0.003235854633717901,0.000678876332262545,0.0025569783014553556,3.2526065174565133e-19
IEEE39,29000061,test1500:ieee39:0061,D3_large_excursion,generator,,test,G0_BALANCED,53,full,0.001305892128034634,0.0003175778226354121,0.0009883143053992219,5.421010862427522e-20
IEEE39,29000061,test1500:ieee39:0061,D3_large_excursion,generator,,test,G0_BALANCED,53,0_2,0.005370287643008415,0.002689424087243326,0.0026808635557650892,0.0
IEEE39,29000061,test1500:ieee39:0061,D3_large_excursion,generator,,test,G0_BALANCED,53,2_10,0.0018670966516575922,0.000389457383135656,0.0014776392685219362,5.421010862427522e-20
IEEE39,29000061,test1500:ieee39:0061,D3_large_excursion,generator,,test,G0_BALANCED,53,10_30,0.0006747449673422877,5.1509602740545745e-05,0.000623235364601742,8.131516293641283e-20
IEEE39,29000062,test1500:ieee39:0062,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,full,0.00014864841737470332,8.580936361089186e-05,6.283905376381146e-05,0.0
IEEE39,29000062,test1500:ieee39:0062,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,0_2,0.0005765132491701915,0.000212989389029796,0.0003635238601403956,8.131516293641283e-20
IEEE39,29000062,test1500:ieee39:0062,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,2_10,0.000315035269556382,0.0002551413398717945,5.9893929684587476e-05,0.0
IEEE39,29000062,test1500:ieee39:0062,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,10_30,3.9283423054581245e-05,5.351505007830599e-06,3.3931918046750644e-05,1.6940658945086007e-21
IEEE39,29000063,test1500:ieee39:0063,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,full,0.0002830534551268949,0.0002407620246201368,4.229143050675812e-05,2.710505431213761e-20
IEEE39,29000063,test1500:ieee39:0063,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,0_2,0.001382467919070347,0.001031812012514883,0.00035065590655546385,2.168404344971009e-19
IEEE39,29000063,test1500:ieee39:0063,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,2_10,0.00013544899331407578,0.00011298672808396972,2.246226523010607e-05,1.3552527156068805e-20
IEEE39,29000063,test1500:ieee39:0063,D2_pronounced_or_spatial,generator,,test,G0_BALANCED,53,10_30,0.00023209271487771238,0.00021272319722456155,1.936951765315081e-05,0.0
IEEE39,29000064,test1500:ieee39:0064,D1_resolved_response,generator,,test,G0_BALANCED,53,full,7.378040319419304e-05,2.6996441669393997e-05,4.6783961524799054e-05,1.0164395367051604e-20
IEEE39,29000064,test1500:ieee39:0064,D1_resolved_response,generator,,test,G0_BALANCED,53,0_2,0.00031233862232008354,0.00016272228333595837,0.00014961633898412518,0.0
