model,system,window,metric,stratum,n_devices,n_scenes,n_groups,group_macro,median,p90
A5_NO_PHYSICAL,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.029394597096769625,0.002627308661538895,0.009118857179882627
A5_NO_PHYSICAL,NPCC140,0_2,trajectory_rmse,BELOW_HIGH,12539,322,68,0.022457056654427203,0.01284645719180439,0.03279400972828931
A5_NO_PHYSICAL,NPCC140,0_2,differential_rmse,BELOW_HIGH,12539,322,68,0.030340325259071783,0.008014135534852005,0.027479485122302017
A5_NO_PHYSICAL,NPCC140,2_10,trajectory_rmse,BELOW_HIGH,12453,277,56,0.009919644163049326,0.0074165721415580445,0.012098255053163691
A5_NO_PHYSICAL,NPCC140,2_10,differential_rmse,BELOW_HIGH,12453,277,56,0.007182241741622177,0.0016363601741699514,0.007042735789933418
A5_NO_PHYSICAL,NPCC140,10_30,trajectory_rmse,BELOW_HIGH,12453,277,56,0.011825164640976457,0.008658505578401634,0.012701965105310471
A5_NO_PHYSICAL,NPCC140,10_30,differential_rmse,BELOW_HIGH,12453,277,56,0.015450311535388807,0.0012294058177238075,0.0032008797960999223
A5_NO_PHYSICAL,IEEE39,full,trajectory_rmse,BELOW_HIGH,2982,364,230,0.06463527290863841,0.025847377629947994,0.09823744475001558
A5_NO_PHYSICAL,IEEE39,full,differential_rmse,BELOW_HIGH,2982,364,230,0.0416893987146806,0.007667923384716495,0.044394067320972695
A5_NO_PHYSICAL,IEEE39,0_2,trajectory_rmse,BELOW_HIGH,2982,364,230,0.0521804425393882,0.03863285416639503,0.12034070652643351
A5_NO_PHYSICAL,IEEE39,0_2,differential_rmse,BELOW_HIGH,2982,364,230,0.03882185899833515,0.01994507987929205,0.05387027946333693
A5_NO_PHYSICAL,IEEE39,2_10,trajectory_rmse,BELOW_HIGH,2781,315,181,0.07938790912469036,0.024885901391337447,0.10097711219456347
A5_NO_PHYSICAL,IEEE39,2_10,differential_rmse,BELOW_HIGH,2781,315,181,0.030608004166943065,0.003650121035968954,0.02184950200015211
A5_NO_PHYSICAL,IEEE39,10_30,trajectory_rmse,BELOW_HIGH,2781,315,181,0.07872738580366459,0.02500964172443189,0.10309722487037536
A5_NO_PHYSICAL,IEEE39,10_30,differential_rmse,BELOW_HIGH,2781,315,181,0.028491718643002824,0.0032352296361442177,0.021378744470613144
A6_PRE_EVENT,NPCC140,full,trajectory_rmse,BELOW_HIGH,12539,322,68,0.01203442833589555,0.004100945035634222,0.011176006621463027
A6_PRE_EVENT,NPCC140,full,differential_rmse,BELOW_HIGH,12539,322,68,0.013355246680581486,0.0022088547365804027,0.009138944091146604
