model,reference,dataset,population,system,scope,scope_value,window,metric,n_paired_records,model_records,reference_records,n_paired_scenes,n_groups,group_mean_difference,group_median_difference,group_win_rate,ci95_low,ci95_high
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,2_10,nadir_error,1090,1090,1090,109,78,0.017926089670496848,0.0037977741099894046,0.32051282051282054,0.012298240486274247,0.023803148896738877
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,event,load,2_10,max_abs_rocof_error,1090,1090,1090,109,78,-0.0016468875445330832,0.0025132980154716324,0.41025641025641024,-0.0035853915030595435,0.00023634125907677034
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,trajectory_rmse,4350,4350,4350,457,324,0.002508954776886806,-0.0005908842075480285,0.6080246913580247,0.0007935132908578927,0.004348675199611014
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,differential_rmse,4350,4350,4350,457,324,-0.0008539740650502725,0.00026739269606516675,0.2623456790123457,-0.0012541014000706176,-0.0004850192361100452
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,nadir_error,4350,4350,4350,457,324,-0.002311198877421461,-0.00364170684479177,0.6759259259259259,-0.0043370431397544785,-0.00013070262288872284
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,label,LABELED_NON_D3,2_10,max_abs_rocof_error,4350,4350,4350,457,324,-0.005469037368590742,-0.00641674001356338,0.8425925925925926,-0.006154623257154461,-0.0047732872821791535
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,2_10,trajectory_rmse,3706,3706,3706,500,365,0.0018155275596715467,-0.0015273736862965854,0.6465753424657534,0.0002981950195815787,0.0034621241760014643
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,2_10,differential_rmse,3706,3706,3706,500,365,-0.0007899742222103938,0.00012705399490149584,0.41643835616438357,-0.0010983366640667134,-0.0004945406260494638
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,2_10,nadir_error,3706,3706,3706,500,365,-0.0037197102146160166,-0.004622152873447963,0.726027397260274,-0.005682233715895663,-0.001625168179052888
A1_NO_BALANCE,G0_BALANCED,validation,ALL_1000,IEEE39,family,0,2_10,max_abs_rocof_error,3706,3706,3706,500,365,-0.002504409140826764,-0.0031939179362468115,0.7452054794520548,-0.0035316946407891645,-0.0014269035144057105
